Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Engine,,
Always Ready Rocketry,10500,"29mm x 48"" Blue Tube",0,1.14,1.28,48,Blue Tube,,2,235
Always Ready Rocketry,10501,"38mm x 48"" Blue Tube",0,1.5,1.62,48,Blue Tube,,2,295
Always Ready Rocketry,10502,"54mm x 48"" Blue Tube",0,2.14,2.26,48,Blue Tube,,2,410
Always Ready Rocketry,10503,"2.56"" x 48"" Blue Tube",0,2.55,2.67,48,Blue Tube,,2,490
Always Ready Rocketry,10504,"75mm x 48"" Blue Tube",0,3,3.1,48,Blue Tube,,2,570
Always Ready Rocketry,10505,"98mm x 48"" Blue Tube",0,3.9,4.01,48,Blue Tube,,2,725
Always Ready Rocketry,10506,"5.5"" x 48"" Blue Tube",0,5.36,5.52,48,Blue Tube,,2,1078.13
Always Ready Rocketry,10507,"6"" x 48"" Blue Tube",0,5.97,6.08,48,Blue Tube,,2,1188.98
Apogee,10063,13 mm,0,0.52,0.54,18,Paper,,2,5.8
Apogee,10064,"18mm x 2.75"" Motor Mount",0,0.71,0.74,2.75,Paper,,2,8.1
Apogee,10086,18 mm,0,0.71,0.74,18,Paper,,2,8.1
Apogee,10100,24 mm,0,0.95,0.98,18,Paper,,2,10.9
Apogee,10102,"24mm x 6"" Clear Airframe",0,0.95,0.98,6,Polycarbonate,,2,4.6
Apogee,10111,"29mm x 13"" Motor Mount",0,1.14,1.18,13,Paper,,2,13
Apogee,10131,"33mm x 18"" Body Tube",0,1.28,1.32,18,Paper,,2,20
Apogee,10134,"33mm x 18"" Clear Airframe",0,1.28,1.33,18,Polycarbonate,,2,31.8
Apogee,10139,"40mm x 9.9"" Body Tube",0,1.58,1.6,9.9,Paper,,2,8.6
Apogee,10141,"41.6mm x 18"" Body Tube",0,1.6,1.64,18,Paper,,2,18
Apogee,10144,"41.6mm x 18"" Clear Airframe",0,1.6,1.64,18,Polycarbonate,,2,41.3
Apogee,10164,"56mm x 18"" Body Tube",0,2.18,2.22,18,Paper,,2,36.6
Apogee,10165,"56mm x 10"" Clear Airframe",0,2.18,2.21,10,Polycarbonate,,2,29.3
Apogee,10171,56mm x 18" Clear Airframe,mm,55.372000,56.311800,457.200000,Polycarbonate,0,2,0.000000
Apogee,10190,"66mm x 18"" Clear Airframe",0,2.56,2.6,18,Polycarbonate,,2,67.5
Apogee,10198,"66mm x 18"" Body Tube",0,2.56,2.6,18,Paper,,2,38.2
Apogee,10202,"74mm x 18"" Body Tube",0,2.93,3,18,Paper,,2,79.2
Apogee,10205,38mm Motor Mount,0,1.53,1.64,11,Paper,,2,41.1
Apogee,10215,AT-98/1" (4" Dia. Thick Wall Switch Band),mm,99.060000,101.600000,25.400000,Paper,0,2,0.000000
Apogee,10220,AT-98/18" (4" Dia. Thick Wall),mm,99.060000,101.600000,457.200000,Paper,0,2,0.000000
Apogee,10222,"54mm x 14"" Motor Mount",0,2.14,2.26,14,Paper,,2,78.1
Apogee,10253,29mm x 7" Thick Wall,mm,28.956000,30.734000,177.800000,Paper,0,2,0.000000
Apogee,10251,"29mm x 34"" Thick Wall",0,1.14,1.21,34,Paper,,2,68
Balsa Machining,T188-34,1.880x1.800x.040x34inch long (Aerotech size),0,1.8,1.88,34,Paper,,2,0
Balsa Machining,T188-34,1.880x1.800x.040x34inch long (Aerotech size),0,1.8,1.88,34,Paper,,2,0
Balsa Machining,T20-18,.736 x.710 x.013 x18 Estes BT20,0,0.71,0.74,18,Paper,,2,0
Balsa Machining,T20-18,.736 x.710 x.013 x18 Estes BT20,0,0.71,0.74,18,Paper,,2,0
Balsa Machining,T20-34,.736x.710x.013x34 Estes 18mm (white),0,0.71,0.74,34,Paper,,2,0
Balsa Machining,T20-EMT,.736x.710x.013x2.75 Motor Tube,0,0.71,0.74,2.75,Paper,,2,0
Balsa Machining,T204-34,2.024x2.0x.021x34 Centuri ST-20,0,2,2.02,34,Paper,,2,0
Balsa Machining,T20Q-34,.787x.748x.039x34 MPC/Quest T20 (white),0,0.75,0.79,34,Paper,,2,0
Balsa Machining,T38-34,1.635x1.525x.055x34 38mm Motor Mount size,0,1.53,1.64,34,Paper,,2,0
Balsa Machining,T4-34,.448x.432x.013x34 Apogee micro (white),0,0.43,0.45,34,Paper,,2,0
Balsa Machining,T4+34,.478x.452x.013x34 slips over T4 (white),0,0.45,0.48,34,Paper,,2,0
Balsa Machining,T5-34,.544x.518x.013x34 Estes mini A (white),0,0.52,0.54,34,Paper,,2,0
Balsa Machining,T5-9,.544x.518 x.013 x9 Plain Kraft,0,0.52,0.54,9,Paper,,2,0
Balsa Machining,T5-9,.544x.518 x.013 x9 Plain Kraft,0,0.52,0.54,9,Paper,,2,0
Balsa Machining,T50-34,.976x.950x.013x34 24mm (white),0,0.95,0.98,34,Paper,,2,0
Balsa Machining,T50-34,.976x.950x.013x34 24mm (white),0,0.95,0.98,34,Paper,,2,0
Balsa Machining,T50-EMT,.976x.950x.013x2.75 Motor Tube,0,0.95,0.98,2.75,Paper,,2,0
Balsa Machining,T50H-EMT,.990x.950x.020x2.75 Motor Tube,0,0.95,0.99,2.75,Paper,,2,0
Balsa Machining,T52H-34,1.210x1.140x.035x34 29mm Motor Mount size,0,1.14,1.21,34,Paper,,2,0
Balsa Machining,T52H-34,1.210x1.140x.035x34 29mm Motor Mount size,0,1.14,1.21,34,Paper,,2,0
Balsa Machining,T55-34,1.325x1.283x.021 (white),0,1.28,1.33,34,Paper,,2,0
Balsa Machining,T60-34,1.637x1.595x.021(white),0,1.6,1.64,34,Paper,,2,0
Balsa Machining,T70-34,2.217x2.175x.021x34,0,2.18,2.22,34,Paper,,2,0
Balsa Machining,T70H-34,2.245x2.175x.035x34in long (white Heavy wall),0,2.18,2.25,34,Paper,,2,0
Balsa Machining,T80-34,2.600x2.558x.021x34in long (white),0,2.56,2.6,34,Paper,,2,0
Balsa Machining,T80H-34,2.640x2.558x.041x34in long (white Heavy wall),0,2.56,2.64,34,Paper,,2,0
Balsa Machining,T908-34,.908x.865x.022x34 Centuri ST-8 (white),0,0.87,0.91,34,Paper,,2,0
Estes,EST 30449,BT-101SV,0,3.9,3.94,24.7,Paper,,2,0
Estes,EST 3084,BT-5,0,0.52,0.54,18,Paper,,2,0
Estes,EST 3085,BT-20,0,0.71,0.74,18,Paper,,2,0
Estes,EST 3086,BT-50,0,0.95,0.98,18,Paper,,2,0
Estes,EST 3087,BT-55,0,1.28,1.32,18,Paper,,2,0
Estes,EST 3088,BT-56,0,1.3,1.35,18,Paper,,2,0
Estes,EST 3089,BT-60,0,1.59,1.64,18,Paper,,2,0
Estes,EST 3090,BT-80,0,2.59,2.6,14.2,Paper,,2,0
Estes,Estes,BT-70,0,2.18,2.22,17.5,Paper,,2,0
Estes,Estes,BT-3,0,0.35,0.38,18,Paper,,2,0
LOC/Precision,11005,38mm Body Tube,0,1.52,1.64,34,Paper,,2,118
LOC/Precision,11010,54mm Body Tube,0,2.14,2.26,34,Paper,,2,192
LOC/Precision,11013,"2.56"" Body Tube",0,2.56,2.63,30,Paper,,2,158
LOC/Precision,11017,75mm Body Tube,0,3,3.1,34,Paper,,2,226
LOC/Precision,11018,75mm Motor Mount,0,3,3.18,34,Paper,,2,392
LOC/Precision,11021,98mm Body Tube,0,3.9,4,34,Paper,,2,298
LOC/Precision,11021,98mm Body Tube,0,3.9,4.08,34,Paper,,2,298
LOC/Precision,11022,98mm Motor Mount,0,3.9,4.02,34,Paper,,2,508
LOC/Precision,11025,"5.38"" Body Tube",0,5.38,5.54,45,Paper,,2,784
LOC/Precision,11027,"7.51"" Body Tube",0,7.52,7.68,60,Paper,,2,1726.77
