Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,CG,CG Units,Mass,Autosize
Aerospace Speciality Products,BH20,"Balsa Bulkhead Size 20 x 1.5""",1,0,17.5,38.1,Balsa,0,g,0,0
Aerospace Speciality Products,BH20T,"Balsa Bulkhead Size 20T x 1.75""",1,0,18.8,44.4,Balsa,0,g,0,0
Aerospace Speciality Products,BH5,"Balsa Bulkhead Size 5 x 1.5""",1,0,12.4,38.1,Balsa,0,g,0,0
Aerospace Speciality Products,BH50,"Balsa Bulkhead Size 50 x 2""",1,0,23.4,50.8,Balsa,0,g,0,0
Aerospace Speciality Products,BH55,"Balsa Bulkhead Size 55 x 3""",1,0,31.8,76.2,Balsa,0,g,0,0
Aerospace Speciality Products,BH60,"Balsa Bulkhead Size 60 x 4""",1,0,39.6,102,Balsa,0,g,0,0
Aerospace Speciality Products,BH70H,"Balsa Bulkhead Size 70H x 4""",1,0,54.4,102,Balsa,0,g,0,0
Aerospace Speciality Products,PBH-2.6/80H,Plywood Bulkhead 2.6/80H (fits TC2.6/80 Coupler),1,0,62,3.17,Aircraft plywood (Birch),0,g,0,0
Aerospace Speciality Products,PBH-60,Plywood Bulkhead 60 (fits TC60 Coupler),1,0,38.4,3.17,Aircraft plywood (Birch),0,g,0,0
Aerospace Speciality Products,PBH-70,Plywood Bulkhead 70 (fits TC70 Coupler),1,0,52.3,3.17,Aircraft plywood (Birch),0,g,0,0
Apogee,12209,41.6mm Foam Coupler Bulkhead,in.,0,1.54,0.13,Foam,0,g,0,0
Apogee,12210,13mm Paper Tube Bulkhead,0,0,0.5,0.05,Paper,0,g,0,0
Apogee,12211,18mm Paper Tube Bulkhead,0,0,0.7,0.05,Paper,0,g,0,0
Apogee,12212,24mm Paper Tube Bulkhead,0,0,0.94,0.05,Paper,0,g,0,0
Apogee,12213,29mm Plywood Tube Bulkhead,0,0,1.12,0.13,Plywood,0,g,0,0
Apogee,12214,33mm Plywood Tube Bulkhead,0,0,1.27,0.13,Plywood,0,g,0,0
Apogee,12215,38mm Plywood Tube Bulkhead,0,0,1.52,0.13,Plywood,0,g,0,0
Apogee,12216,41.6mm Plywood Tube Bulkhead,0,0,1.58,0.13,Plywood,0,g,0,0
Apogee,12217,54mm Plywood Tube Bulkhead,0,0,2.13,0.25,Plywood,0,g,0,0
Apogee,12218,56mm Plywood Tube Bulkhead,0,0,2.18,0.13,Plywood,0,g,0,0
Apogee,12219,"2.56"" Plywood Tube Bulkhead",0,0,2.56,0.25,Plywood,0,g,0,0
Apogee,12220,75mm Plywood Tube Bulkhead,0,0,2.99,0.25,Plywood,0,g,0,0
Apogee,12221,98mm Plywood Tube Bulkhead,0,0,3.89,0.25,Plywood,0,g,0,0
Apogee,12222,"5.38"" Plywood Tube Bulkhead",0,0,5.37,0.25,Plywood,0,g,0,0
Apogee,12223,"6"" Plywood Tube Bulkhead (Fits BT)",0,0,5.99,0.25,Plywood,0,g,0,0
Apogee,12224,"7.51"" Plywood Tube Bulkhead (Fits LOC)",0,0,7.51,0.25,Plywood,0,g,0,0
Apogee,12225,74mm Plywood Tube Bulkhead,0,0,2.92,0.13,Plywood,0,g,0,0
Apogee,12248,13mm Paper Coupler Bulkhead,0,0,0.48,0.05,Paper,0,g,0,0
Apogee,12250,18mm Paper Coupler Bulkhead,0,0,0.66,0.05,Paper,0,g,0,0
Apogee,12251,24mm Plywood Coupler Bulkhead,0,0,0.9,0.13,Plywood,0,g,0,0
Apogee,12252,24mm Paper Coupler Bulkhead,0,0,0.91,0.05,Paper,0,g,0,0
Apogee,12254,29mm Paper Coupler Bulkhead,0,0,1.1,0.05,Paper,0,g,0,0
Apogee,12255,29mm Plywood Coupler Bulkhead,0,0,1,0.13,Plywood,0,g,0,0
Apogee,12258,33mm Plywood Coupler Bulkhead,0,0,1.24,0.13,Plywood,0,g,0,0
Apogee,12259,38mm Plywood Coupler Bulkhead (Fits BT),0,0,1.38,0.13,Plywood,0,g,0,0
Apogee,12260,38mm Plywood Coupler Bulkhead (Fits LOC),0,0,1.42,0.13,Plywood,0,g,0,0
Apogee,12261,41.6mm Plywood Coupler Bulkhead,0,0,1.54,0.13,Plywood,0,g,0,0
