Mfg.,Part no,Desc,Units,Root chord,Tip chord,Span,Sweep,Thickness,Shape,Tip shape,Material,Npoints,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
DynaStar,Snarky Main Wing,Fin,mm,256.54000000000002,122.120000000000005,116.840000000000003,250.389999999999986,3.175,,square,Balsa,6,256.54000000000002| 0.,242.569999999999993| 25.399999999999999,295.274999999999977| 116.840000000000003,231.775000000000006| 116.840000000000003,127.| 15.24,0.| 0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-MATR-UPR,Upper payload fins,in,4.75,3.15,0.62,0.8,0.0938,,square,G10 fiberglass,4,4.75|             0.,4.|             0.62,0.75|             0.62,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-MATR-LWR,Lower main fin set,in,4,1.824,5.75,3.306,0.0938,,square,G10 fiberglass,5,4.|             0.,5.38|             4.,5.38|             5.75,0.|             2.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-MBBX-LWR,Lower fins,in,5.75,3.338,2.75,4.932,0.063,,square,G10 fiberglass,5,5.75|             0.,6.5|             0.375,7.875|             2.749623570271068,4.75|             2.741438242031717,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-PTERJ,Fins,in,17.759,12.447,4.25,13.054,0.063,,square,G10 fiberglass,5,17.759|             0.,16.263999999999999|             4.25,12.739000000000001|             4.25,11.893000000000001|             1.514,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-PTERO,Fins,in,34,26.079,8.5,24.793,0.094,,square,G10 fiberglass,5,34.|             0.,31.25|             8.5,24.75|             8.5,23.|             2.75,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-A-02 & FIN-IO-xx & FIN-CALL-xx,Fins,in,4,1.772,4,1.114,0.0625,,square,G10 fiberglass,4,4.|             0.,3.|             4.,1.|             4.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-A-03 & FIN-EXPL-xx,Fins,in,5.5,0.248,4,4.563,0.0625,,square,G10 fiberglass,4,5.5|             0.,5.5|             3.,4.|             4.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-A-04 & FIN-PHOB-xx,Fins,in,6.5,3.152,4,4.924,0.0625,,square,G10 fiberglass,3,6.5|             0.,6.5|             4.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-A-07,Fins,in,6.5,2.348,4,4.855,0.0625,,square,G10 fiberglass,4,6.5|             0.,6.5|             2.,5.75|             4.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Missiles,FIN-A-09,Fins,in,6.5,0.681,3,4.785,0.0625,,square,G10 fiberglass,4,6.5|             0.,6.|             3.,4.25|             3.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
