Mfg.,Part no,Desc,Units,Root chord,Tip chord,Span,Sweep,Thickness,Shape,Tip shape,Material,Npoints,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
DynaStar,Snarky Main Wing,Fin,mm,256.54000000000000,122.120000000000000,116.840000000000000,250.390000000000000,3.175,,square,Balsa,6,256.54000000000002| 0.,242.569999999999993| 25.399999999999999,295.274999999999977| 116.840000000000003,231.775000000000006| 116.840000000000003,127.| 15.24,0.| 0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-1,Fin set,mm,82.55,32.39,63.5,47.31,3.175,,rounded,Aircraft plywood (LOC),4,82.55000108966|             0.,82.550001634490002|            63.500001257299999,44.450000880110004|            63.500001257299999,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-100,Fin set,mm,311.15,154.23,88.9,186.55,4.7752,,rounded,Aircraft plywood (LOC),5,311.15001642872039|             0.,339.72501793748046|            28.575001508760039,339.72501793748046|            88.90000469392011,123.82500653796011|            73.025003855720072,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-12,Fin set,mm,152.4,12.61,82.55,127.05,3.175,,rounded,Aircraft plywood (LOC),4,152.40000502920003|             0.,146.05000481965004|            82.550002724150033,120.65000398145003|            82.550002724150033,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-16,Fin set,mm,152.4,28.25,101.6,136.11,3.175,,rounded,Aircraft plywood (LOC),4,152.40000603504006|             0.,177.80000234695999|            82.55000108966,120.65000159257998|           101.60000134112002,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-20,Fin Set,mm,133.35,36.31,88.9,70.75,3.175,,rounded,Aircraft plywood (LOC),4,133.35000264033002|             0.,114.30000226314003|            88.900001760220007,63.500001257299999|            88.900001760220007,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-24,Fin Set,mm,133.35,36.31,88.9,70.75,3.175,,rounded,Aircraft plywood (LOC),4,133.35000176022001|             0.,114.30000150876|            88.900001173480007,63.500000838199995|            88.900001173480007,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-28,Fin set,mm,222.25,111.11,82.55,125.42,3.175,,rounded,Aircraft plywood (LOC),3,222.25000440055007|             0.,180.97500358330501|            82.550001634490002,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-32,Fin set,mm,215.9,26.48,73.03,177.26,3.175,,rounded,Aircraft plywood (LOC),4,215.90000569976004|             0.,206.37500408622503|            73.025001445895001,174.62500345757505|            73.025001445895001,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-36,Fin set,mm,222.25,107.78,82.55,127.09,3.175,,rounded,Aircraft plywood (LOC),3,222.25000586740012|             0.,180.97500477774003|            82.550002179320018,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-4,Fin set,mm,158.75,79.36,63.5,84.15,3.175,,rounded,Aircraft plywood (LOC),3,158.75000104775|             0.,123.82500081724498|            63.500000419099997,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-40,Fin set,mm,158.75,79.36,63.5,84.15,3.175,,rounded,Aircraft plywood (LOC),3,158.75000523875005|             0.,123.82500408622502|            63.500002095500022,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-44,Fin set,mm,88.9,62.28,82.55,26.01,3.175,,rounded,Aircraft plywood (LOC),4,88.900001760220007|             0.,88.899999999999991|            82.549999999999997,25.399999999999999|            82.549999999999997,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-48,Fin set,mm,171.45,72.98,107.95,153.96,3.175,,rounded,Aircraft plywood (LOC),5,171.45000678942009|             0.,206.37500817245015|            31.750001257300017,206.37500817245015|           107.95000427482006,142.87500565785007|           107.95000427482006,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-52,Fin Set,mm,133.35,37.27,88.9,70.26,3.175,,rounded,Aircraft plywood (LOC),4,133.35000528066007|             0.,114.30000452628008|            88.900003520440066,63.500002514600034|            88.900003520440066,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-56,Fin set,mm,127,72.13,101.6,36.96,3.175,,rounded,Aircraft plywood (LOC),4,127.0000025146|             0.,111.12500220027503|           101.60000201168002,34.925000691514995|           101.60000201168002,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-57,Fin set,mm,247.65,118.2,66.68,152.33,3.175,,rounded,Aircraft plywood (LOC),5,247.65000980694006|             0.,269.87501424940046|            19.050001005840016,269.87501424940046|            66.675003520440072,107.95000569976013|            57.150003017520078,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
