name,x,rgbx,y1,rgb1,style1,y2,rgb2,style2,y3,rgb3,style3,y4,rgb4,style4,y5,rgb5,style5,StartCode,StartValue,EndCode,EndValue,OerlappedY
Wind tip off analysis,0,0|0|0,14,1|0|0,1,24,0|0.501961|0,1,29,1|0.501961|0.25098,1,22,1|0|1,1,,,,0,0.,0,0.,0
alpha / wind drag / wind lift vs. time,0,1|0|0,24,0|0|0.627451,1,35,0|1|0.25098,1,36,1|0|0,1,-1,0|0|0,0,,,,0,0.25,6,2.,0
Flight Angle & AOA,0,1|0|0,22,1|0.501961|0.25098,1,24,1|0|0.501961,1,34,0|0.501961|0,1,-1,0|0|0,0,,,,0,0.25,6,0.,0
Cross wind forces vs. time,0,1|0|0,35,1|0|0.501961,1,13,1|0.501961|0.25098,1,-1,0|0|0,0,-1,0|0|0,0,,,,2,0.25,3,0.,0
Cd Vs. Mach number,13,1|0|0,16,1|0.501961|0,1,-1,0|0|0,0,-1,0|0|0,0,-1,0|0|0,0,,,,0,0.25,3,0.,0
Acceleration / Velocity / Altitude Vs. Time,0,1|0|0,4,1|0.501961|0,1,10,0|1|0,1,14,0|0|0.627451,1,-1,0|0|0,0,,,,0,0.25,0,0.,0
Cd Vs. Velocity,10,1|0|0,16,1|0.501961|0,1,-1,0|0|0,0,-1,0|0|0,0,-1,0|0|0,0,,,,0,0.,3,0.,1
Thermal velocity Vs. Range,11,255|0|0,61,0|128|0,7,-1,0|128|0,0,-1,0|255|0,0,-1,0|0|0,0,-1,0|0|0,0,0,0.25,0,0.,0
Wind / Altitude Vs. Range,11,255|0|0,61,0|255|0,0,34,0|128|0,0,10,0|0|160,7,-1,255|0|128,0,-1,0|0|0,0,0,0.25,0,0.,0
alpha / wind drag / wind lift vs. time,0,255|0|0,17,0|0|160,0,36,0|255|64,0,37,255|0|0,0,-1,0|0|0,0,-1,0|0|0,0,0,0.25,6,2.,0
Flight Angle & AOA,0,255|0|0,16,255|128|64,0,17,255|0|128,0,34,0|128|0,0,-1,0|0|0,0,-1,0|0|0,0,0,0.25,6,0.,0
Cross wind forces vs. time,0,255|0|0,36,255|0|128,0,37,255|128|64,0,-1,0|0|0,0,-1,0|0|0,0,-1,0|0|0,0,2,0.25,3,0.,0
Cd Vs. Mach number,35,255|0|0,18,255|128|0,0,-1,0|0|0,0,-1,0|0|0,0,-1,0|0|0,0,-1,0|0|0,0,0,0.25,3,0.,0
Acceleration / Velocity / Altitude Vs. Time,0,255|0|0,4,255|128|0,0,7,0|255|0,0,10,0|0|160,7,-1,0|0|0,0,-1,0|0|0,0,0,0.25,0,0.,0
Cd Vs. Velocity,7,255|0|0,18,255|128|0,0,-1,0|0|0,0,-1,0|0|0,0,-1,0|0|0,0,-1,0|0|0,0,0,0.,3,0.,1
