Mfg.,Part no,Desc,Units,Name,Type,Length,Material,Mass units,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apogee,14800,EGG PROTECTOR SET FOR VAC-FORM CAPSULE,mm,EGG PROTECTOR FOR VAC-FORM CAPSULE,general,0.000000,Custom,g,6.800000
Apogee,29611,Small Screw Eye,mm,Small Screw Eye,general,0.000000,100lb Kevlar (Apogee 29505),g,0.730000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apogee,29629,Eyebolt - 1/4-20 shank with nuts and washers,mm,Eyebolt with nut and washers,general,0.000000,1 in. tubular nylon,g,25.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apogee,29625,Screw Eye (Large) - For Mid-power rockets,mm,Screw Eye,general,0.000000,300lb Kevlar (Apogee 29506),g,5.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apogee,29620,1/8" Quick Link,mm,1/8" Quick Link,general,,,g,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apogee,29621,1/4" Quick Link,mm,1/4" Quick Link,general,,,g,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apogee,29623,"1/4"" Forged Eye Bolt",mm,"1/4"" Forged Eye Bolt",general,,,g,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apogee,29633,1/4-20 Threaded Rod 9" Long,mm,1/4-20 Threaded Rod 9" Long,general,,,g,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apogee,24046,Crimped Engine Hook (2.75 inch long),mm,Crimped Engine Hook (2.75 inch long),general,,,g,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AeroPack,24052,24mm Engine Retainer,mm,24mm AeroPack Retainer,general,,Aluminum,g,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
