Mfg.,Part No.,Desc.,Units,Length,Outer Dia,L/D Ratio,Insert Length,Insert OD,Thickness,Shape,Config,Material,CG Loc,Mass Units,Mass,Base Ext. Len
Aerospace Speciality Products,BNC20TT,TT-20 Balsa Nose Cone TT,1,67.31,19.9,0,15.9,18.4,0,2,0,Balsa,0,2,1.5,0
Aerospace Speciality Products,BNC60TB,T-60 Balsa Nose Cone TB,1,82.5,41.6,0,19.8,40,0,2,0,Balsa,0,2,9,0
Aerospace Speciality Products,BNC70S,T-70H Balsa Nose Cone S,1,82.5,56.3,0,25.4,54.5,0,3,0,Balsa,0,2,20,0
Aerospace Speciality Products,BNC80S,T-80H Balsa Nose Cone S,1,88.9,66.3,0,38.1,64.3,0,3,0,Balsa,0,2,0,0
Aerotech,11191,1.9in Nose Cone,0,9.5,1.9,0,2.5,1.77,0.125,1,1,Polystyrene PS,6,0,1.7,0
Aerotech,11261,2.6in Nose Cone,0,12.5,2.6,0,3,2.48,0.125,1,1,Polystyrene PS,7.75,0,2.4,0
Aerotech,11401,4in Nose Cone 4:1 Ogive,1,400.05,101.6,0,101.6,98.425,2.3622,ogive,hollow,Polyethylene LDPE,254,g,141,0
Aerotech,11405,4in Nose Cone - Sumo,1,406.4,101.6,0,101.6,98.425,2.54,ogive,hollow,Polyethylene LDPE,209.55,g,255.146,0
Apogee,14811,56mm TARC Foam Nose Cone,mm,63.5,56.3118,0,25.4,55.372,0,elliptical,solid,Flexible Urethane Foam - firm,63.5,g,23.5,0
Apogee,14812,66mm TARC Foam Nose cone,mm,63.5,66.04,0,25.4,65.786,0,elliptical,solid,Flexible Urethane Foam - firm,63.5,g,29.4,0
Apogee,14824,74mm TARC Foam Nose cone,1,76.2,76.2,0,25.4,74.3,0,3,0,Flexible Urethane Foam - firm,0,2,0,0
Apogee,19420,Science Fair NC 1,mm,76.2,24.7904,0,19.05,24.003,0,cone,solid,Balsa,69.85,g,3.3,0
Apogee,19421,Science Fair NC 2,mm,25.4,24.7904,0,19.05,24.003,0,cone,solid,Balsa,0,g,0,50.8
Apogee,19422,Science Fair NC 3,mm,76.2,24.7904,0,19.05,24.003,0,ogive,solid,Balsa,69.85,g,4.9,0
Apogee,19423,Science Fair NC 4,mm,76.2,24.7904,0,19.05,24.003,0,elliptical,solid,Balsa,57.15,g,4.5,0
Apogee,19424,Science Fair NC 5,mm,76.2,24.7904,0,19.05,24.003,0,power-series,solid,Balsa,50.8,g,4.3,0
