Mfg.,Part No.,Desc.,Units,n sides,OD,ID,Shroud Count,Shroud Len,Shroud Material,Chute Thickness,Chute Material,Mass Units,Mass,CG,Cd,AutoSize,AutoSize,AutoSize,AutoSize,0,0,0,0,0,0,0,0,0,0
Apogee,29090,"12"" Nylon Hexagon",0,6,12,0,6,12,Carpet String (Apogee 29500),0.03,Rip stop nylon,2,6.1,0,0.75,,,,,,,,,,,,,,
Apogee,29091,"15"" Nylon Hexagon",0,6,15,0,6,15,Carpet String (Apogee 29500),0.03,Rip stop nylon,2,7.5,0,0.75,,,,,,,,,,,,,,
Apogee,29092,"18"" Nylon Hexagon",0,6,18,0,6,15,Carpet String (Apogee 29500),0.03,Rip stop nylon,2,8,0,0.75,,,,,,,,,,,,,,
Apogee,29093,"24"" Nylon Hexagon",0,6,24,0,6,24,Carpet String (Apogee 29500),0.03,Rip stop nylon,2,16.9,0,0.75,,,,,,,,,,,,,,
Apogee,29094,"30"" Nylon Octagon",0,8,30,0,8,30,Carpet String (Apogee 29500),0.03,Rip stop nylon,2,42.5,0,0.75,,,,,,,,,,,,,,
Apogee,29095,"36"" Nylon Octagon",0,8,36,0,8,34,Carpet String (Apogee 29500),0.03,Rip stop nylon,2,51.6,0,0.75,,,,,,,,,,,,,,
Apogee,29096,"48"" Nylon Octagon",0,8,48,0,8,44,Carpet String (Apogee 29500),0.03,Rip stop nylon,2,74.8,0,0.75,,,,,,,,,,,,,,
Apogee,29097,"58"" Nylon Octagon",0,8,58,0,8,58,Carpet String (Apogee 29500),0.03,Rip stop nylon,2,103.2,0,0.75,,,,,,,,,,,,,,
Apogee,29101,24" Cut to Size Plastic Octagon,mm,8,609.600000,0.000000,8,813.001000,Carpet String (Apogee 29500),0.030000,Polyethylene LDPE,g,0.000000,0.000000,0.750000
Apogee,29101,"32"" Plastic Octagon",1,8,813,0,8,813,Carpet String (Apogee 29500),0.03,Polyethylene LDPE,2,0,0,0.75,,,,,,,,,,,,,,
Apogee,29124,"12"" Plastic Hexagon",0,6,12,0,6,12,Carpet String (Apogee 29500),0.03,Polyethylene LDPE,2,3,0,0.75,,,,,,,,,,,,,,
Apogee,29126,"12"" Cut-To-Size Plastic Hexagon",0,6,12,0,6,18,Carpet String (Apogee 29500),0.03,Polyethylene LDPE,2,9,0,0.75,,,,,,,,,,,,,,
Apogee,29126,"15"" Cut-To-Size Plastic Hexagon",0,6,15,0,6,18,Carpet String (Apogee 29500),0.03,Polyethylene LDPE,2,10,0,0.75,,,,,,,,,,,,,,
Apogee,29126,"18"" Cut-To-Size Plastic Hexagon",0,6,18,0,6,18,Carpet String (Apogee 29500),0.03,Polyethylene LDPE,2,11,0,0.75,,,,,,,,,,,,,,
Dino Chutes,29232,"12"" X Form Parachute",0,12,12,0,8,6,1/16 In. braided nylon,0.03,Rip stop nylon,2,6.9,0,0.75,,,,,,,,,,,,,,
Dino Chutes,29234,"18"" X Form Parachute",0,12,18,0,8,18,1/16 In. braided nylon,0.03,Rip stop nylon,2,15.9,0,0.75,,,,,,,,,,,,,,
Dino Chutes,29236,"24"" X Form Parachute",0,12,24,0,8,24,1/16 In. braided nylon,0.03,Rip stop nylon,2,24.7,0,0.75,,,,,,,,,,,,,,
Dino Chutes,29238,"30"" X Form Parachute",0,8,30,0,8,14,1/16 In. braided nylon,0.03,Rip stop nylon,2,30,0,0.75,,,,,,,,,,,,,,
Dino Chutes,29240,"36"" X Form Parachute",0,8,36,0,8,17,1/16 In. braided nylon,0.03,Rip stop nylon,2,41.2,0,0.75,,,,,,,,,,,,,,
Dino Chutes,29241,"24"" Guide Chute",0,4,24,0,4,18,1/16 In. braided nylon,0.03,Rip stop nylon,2,19.7,0,0.75,,,,,,,,,,,,,,
Dino Chutes,29242,"18"" Drogue Chute",0,8,18,0,8,22,1/16 In. braided nylon,0.03,Rip stop nylon,2,56.1,0,0.75,,,,,,,,,,,,,,
Dino Chutes,29243,"24"" Drogue Chute",0,8,24,0,8,29,1/16 In. braided nylon,0.03,Rip stop nylon,2,72.2,0,0.75,,,,,,,,,,,,,,
Estes,302260,18 in. nylon,0,6,18,0,8,24,Carpet String (Apogee 29500),0,Rip stop nylon,2,10.5,0,0.75,,,,,,,,,,,,,,
Estes,12 in,12 in. plastic,0,6,12,0,6,11,Carpet String (Apogee 29500),0,Polyethylene LDPE,0,0.07,0,0.75,,,,,,,,,,,,,,
Estes,18 in,18 in plastic,0,6,18,0,6,18,Carpet String (Apogee 29500),0,Polyethylene LDPE,0,0.21,0,0.75,,,,,,,,,,,,,,
Estes,82426-30,24 in. nylon,0,6,24,0,8,29.5,Carpet String (Apogee 29500),0,Rip stop nylon,2,23.1,0,0.75,,,,,,,,,,,,,,
Fruity Chutes,29161,"15"" Drogue Chute",0,0,15,0,18,17,1/16 In. braided nylon,0.03,Rip stop nylon,2,43,0,0.75,,,,,,,,,,,,,,
Fruity Chutes,29162,"18"" Drogue Chute",0,0,18,0,18,21,1/16 In. braided nylon,0.03,Rip stop nylon,2,60,0,0.75,,,,,,,,,,,,,,
Fruity Chutes,29163,"24"" Nylon Elliptical",mm,0,609.6,0,16,711.2,1/16 In. braided nylon,0.762,Rip stop nylon,g,62,0,0.75,,,,,,,,,,,,,,
Fruity Chutes,29165,"36"" Nylon Elliptical",0,0,36,0,18,41,1/16 In. braided nylon,0.03,Rip stop nylon,2,127.57,0,0.75,,,,,,,,,,,,,,
Fruity Chutes,29167,"48"" Nylon Elliptical",0,0,48,0,18,55,1/16 In. braided nylon,0.03,Rip stop nylon,2,206.95,0,0.75,,,,,,,,,,,,,,
Fruity Chutes,29181,"48"" Nylon Toroidal",0,0,48,0,18,55,1/16 In. braided nylon,0.03,Rip stop nylon,2,212.6,0,0.75,,,,,,,,,,,,,,
Fruity Chutes,29182,"60"" Nylon Toroidal",0,0,60,0,18,69,1/16 In. braided nylon,0.03,Rip stop nylon,2,309,0,0.75,,,,,,,,,,,,,,
Fruity Chutes,29183,"72"" Nylon Toroidal",0,0,72,0,18,83,1/16 In. braided nylon,0.03,Rip stop nylon,2,380,0,0.75,,,,,,,,,,,,,,
Fruity Chutes,29184,"84"" Nylon Toroidal",0,0,84,0,18,97,1/16 In. braided nylon,0.03,Rip stop nylon,2,539,0,0.75,,,,,,,,,,,,,,
Fruity Chutes,29185,"96"" Nylon Toroidal",0,0,96,0,18,110,1/16 In. braided nylon,0.03,Rip stop nylon,2,709,0,0.75,,,,,,,,,,,,,,
LOC Precision,LP-14,14 In. 6 lines,1,0,356,0,6,381,1/16 In. braided nylon,0.05,Rip stop nylon,2,11.3,0,0.75,,,,,,,,,,,,,,
LOC Precision,LP-18,18 In. 8 lines,1,0,457,0,8,381,1/16 In. braided nylon,0.05,Rip stop nylon,2,22.7,0,0.75,,,,,,,,,,,,,,
LOC Precision,LP-28,28 In. 8 lines,1,0,711,0,8,762,1/16 In. braided nylon,0.05,Rip stop nylon,2,28.4,0,0.75,,,,,,,,,,,,,,
LOC Precision,LP-36,36 In. 10 lines,1,0,914,0,10,914,1/16 In. braided nylon,0.05,Rip stop nylon,2,85,0,0.75,,,,,,,,,,,,,,
LOC Precision,LP-50,50 In. 16 lines,1,0,1.27E+03,0,16,1.35E+03,1/16 In. braided nylon,0.05,Rip stop nylon,2,170,0,0.75,,,,,,,,,,,,,,
LOC Precision,LP-58,58 In. 16 lines,1,0,1.47E+03,0,16,1.35E+03,1/16 In. braided nylon,0.05,Rip stop nylon,2,142,0,0.75,,,,,,,,,,,,,,
LOC Precision,LP-78,78 In. 16 lines,1,0,1.98E+03,0,16,1.73E+03,1/16 In. braided nylon,0.05,Rip stop nylon,2,312,0,0.75,,,,,,,,,,,,,,
LOC Precision,LP-86,86 In. 20 lines,1,0,2.18E+03,0,20,2.01E+03,1/16 In. braided nylon,0.05,Rip stop nylon,2,454,0,0.75,,,,,,,,,,,,,,
Quest,12 in,12 in plastic,0,0,12,0,6,12.5,30 Lb. kevlar,0,Polyethylene LDPE,0,0.07,0,0.75,,,,,,,,,,,,,,
Semroc,CP-12,12 in. Plastic Chute,0,6,12,0,6,12,30 Lb. kevlar,0,Polyethylene LDPE,0,0,0,0.75,,,,,,,,,,,,,,
Semroc,CP-16,16 in. Plastic Chute,0,8,16,0,8,16,30 Lb. kevlar,0,Polyethylene LDPE,0,0,0,0.75,,,,,,,,,,,,,,
Semroc,CP-20,20 in. Plastic Chute,0,8,20,0,8,20,30 Lb. kevlar,0,Polyethylene LDPE,0,0,0,0.75,,,,,,,,,,,,,,
Semroc,CP-24,24 in. Plastic Chute,0,8,24,0,8,24,30 Lb. kevlar,0,Polyethylene LDPE,0,0,0,0.75,,,,,,,,,,,,,,
Semroc,PN-14,14 in. Nylon Chute,0,6,14,0,6,16,1/16 In. braided nylon,0,"G10 (PML 0.062"")",0,0,0,0.75,,,,,,,,,,,,,,
Semroc,PN-18,18 In. Nylon Chute,0,8,18,0,8,20,1/16 In. braided nylon,0,"G10 (PML 0.062"")",0,0,0,0.75,,,,,,,,,,,,,,
Semroc,PN-24,24 In. Nylon Chute,0,0,24,0,10,26,1/16 In. braided nylon,0,"G10 (PML 0.062"")",0,0,0,0.75,,,,,,,,,,,,,,
Sunward Group LTD,29106,"12"" Nylon Hexagon",0,6,12,0,6,12,1/16 In. braided nylon,0.03,Rip stop nylon,2,6.1,0,0.75,,,,,,,,,,,,,,
Sunward Group LTD,29107,"15"" Nylon Hexagon",0,6,15,0,6,15,1/16 In. braided nylon,0.03,Rip stop nylon,2,7.5,0,0.75,,,,,,,,,,,,,,
Sunward Group LTD,29108,"15"" Nylon Round",0,0,15,0,6,15,1/16 In. braided nylon,0.03,Rip stop nylon,2,7.5,0,0.75,,,,,,,,,,,,,,
Sunward Group LTD,29112,"18"" Nylon Hexagon",0,6,18,0,6,18,1/16 In. braided nylon,0.03,Rip stop nylon,2,13.7,0,0.75,,,,,,,,,,,,,,
Sunward Group LTD,29127,"30"" Nylon Octagon",0,8,30,0,6,30,1/16 In. braided nylon,0.03,Rip stop nylon,2,30.9,0,0.75,,,,,,,,,,,,,,
Sunward Group LTD,29128,"36"" Nylon Octagon",0,8,36,0,6,36,1/16 In. braided nylon,0.03,Rip stop nylon,2,56.7,0,0.75,,,,,,,,,,,,,,
Sunward Group LTD,29129,"48"" Nylon Octagon",0,8,48,0,6,48,1/16 In. braided nylon,0.03,Rip stop nylon,2,64.64,0,0.75,,,,,,,,,,,,,,
