Mfg.,Part No.,Desc.,Units,Front Insert Len,Front Insert OD,Front OD,Length,Rear OD,Core Dia.,Rear Insert Len,Rear Insert OD,Thickness,Config,Material,CG Loc,Mass Units,Mass,Shape,Shape,Shape,Shape,Shape,Shape,Shape,Shape,Shape,Shape,Shape,Shape
Aerospace Speciality Products,BTS-60/70,Balsa Transition Section 60/70,1,22.2,40,41.6,57.2,56.3,0,25.4,54.5,0,0,Balsa,0,2,20,0,0,,,,,,,,,,
Apogee,17081,BT-70/BT-80 Blow Mold Transition,mm,50.8,55.0012,55.9994,50.8,66.04,0,76.2,65.0189,1.2954,1,Polystyrene PS,88.9,g,49.1,2,0,0,0,0,0,0,0,0,0,0,0
Apogee,19612,VF Transition 13/18mm,mm,0,0,18.6944,27.432,13,0,12.192,13,0.254,1,Polystyrene PS,0,g,0,1,0,0,0,0,0,0,0,0,0,0,0
Apogee,20069,BT-60 to BT-55 Transition,mm,38.4175,40.259,41.6001,29.845,33.5991,0,38.4175,32.512,1.0008,1,Polystyrene PS,53.34,g,16,0,0,,,,,,,,,,
Apogee,20070,PNC-56  Transition,mm,0,0,29,182.5625,56.261,0,25.4,55.118,1.27,1,Polystyrene PS,0,g,0,1,0,0,0,0,0,0,0,0,0,0,0
Apogee,20080,PNC-66 Transition,mm,0,0,28.9814,160.3375,66.04,0,25.4,64.77,1.524,1,Polystyrene PS,0,g,0,1,0,0,0,0,0,0,0,0,0,0,0
Apogee,20102-aft,VF Egg Capsule NC White Aft Half,mm,0,0,46.228,62.23,23.876,0,28.575,23.876,0.4826,1,Polystyrene PS,0,g,0,3,0,,,,,,,,,,
Balsa Machining,BMS20V2B,V2 Boat-tail with 10mm bored hole,in.,0.5,0.71,0.73,1.62,0.52,0.4,0,0,,solid,Balsa,0,oz.,0,Ogive,0,,,,,,,,,,
Balsa Machining,BMS50V2B,V2 Boat-tail with bored BT5 hole,in.,0.5,0.95,0.97,2,0.68,0.54,0,0,,solid,Balsa,0,,0,Ogive,0,,,,,,,,,,
Balsa Machining,BMS60V2B,V2 Boat-tail with bored BT20 hole,in.,0.5,1.59,1.63,3.7,1.05,0.73,0,0,,solid,Balsa,0,,0,Ogive,0,,,,,,,,,,
Balsa Machining,BMSV2BT1,V2 Boat-tail with bored BT50 hole,in.,0.5,1.59,1.63,3.7,1.11,0.97,0,0,,solid,Balsa,0,,0,Ogive,0,,,,,,,,,,
Balsa Machining,BTC55Z,V2 Boat-tail with bored BT20 hole,in.,0.5,1.28,1.32,3,0.97,0.73,0,0,,solid,Balsa,0,,0,Ogive,0,,,,,,,,,,
Balsa Machining,TA2050,Transition T20 to T50 2 in long,in.,0.5,0.71,0.73,2,0.97,,0.5,0.71,,solid,Balsa,0,oz.,0,Conical,0,,,,,,,,,,
Balsa Machining,TA2050A,Transition T20 to T50 1 in long,in.,0.5,0.71,0.73,1,0.97,,0.75,0.95,,solid,Balsa,0,oz.,0,Conical,0,,,,,,,,,,
Balsa Machining,TA2055,Transition T20 to T55 1.5 in long,in.,0.5,0.71,0.73,1.5,1.63,,0.75,1.28,,solid,Balsa,0,oz.,0,Conical,0,,,,,,,,,,
Balsa Machining,TA2060,Transition T20 to T80 0.84 in long,in.,0.75,0.71,0.73,0.84,2.6,,0.75,2.55,,solid,Balsa,0,oz.,0,Conical,0,,,,,,,,,,
Balsa Machining,TA5055,Transition T50 to T55 1 in long,in.,0.75,0.95,0.97,1,1.63,,0.75,1.28,,solid,Balsa,0,oz.,0,Conical,0,,,,,,,,,,
Balsa Machining,TA5055L,Transiition T50 to T55 1.5 in long,in.,0.75,0.95,0.97,1.5,1.63,,0.75,1.28,,solid,Balsa,0,oz.,0,Conical,0,,,,,,,,,,
Balsa Machining,TA5060,Transition T50 to T60 2 in long,in.,0.75,0.95,0.97,2,1.63,,0.75,1.59,,solid,Balsa,0,oz.,0,Conical,0,,,,,,,,,,
Balsa Machining,TA520,Transition T5 to T20 0.78 in long,in.,0.5,0.51,0.54,0.78,0.73,,0.5,0.71,,solid,Balsa,0,oz.,0,Conical,0,,,,,,,,,,
Balsa Machining,TA550,Transition T5 to T50 1 in long,in.,0.5,0.51,0.54,1,0.97,,0.5,0.95,,solid,Balsa,0,oz.,0,Conical,0,,,,,,,,,,
Balsa Machining,TA555,Transiition T5 to T55 2.75 in long,in.,0.75,0.51,0.54,2.75,1.63,,0.75,1.28,,solid,Balsa,0,oz.,0,Conical,0,,,,,,,,,,
Balsa Machining,TA5560,Transition T55 to T60 1 long,in.,1,1.28,1.63,1,1.63,,1,1.59,,solid,Balsa,0,oz.,0,Conical,0,,,,,,,,,,
Balsa Machining,TA5560A,Transition T55 to T60 1.3 in long,in.,0.75,1.28,1.63,1.3,1.63,,0.75,1.59,,solid,Balsa,0,oz.,0,Conical,0,,,,,,,,,,
Balsa Machining,TA6070,Transition T60 to T70 1.75 in long,in.,0.6,1.59,1.63,1.5,2.21,,0.6,2.17,,solid,Balsa,0,oz.,0,Conical,0,,,,,,,,,,
Balsa Machining,TA6080,Transition T60 to T80 2.25 in long,in.,1.25,1.59,1.63,2.25,2.6,,1.5,2.55,,solid,Balsa,0,oz.,0,Conical,0,,,,,,,,,,
Balsa Machining,TA7080,Transition T70 to T80 2 in long,in.,1.4,2.17,2.21,2,2.6,,1.4,2.55,,solid,Balsa,0,oz.,0,Conical,0,,,,,,,,,,
Estes,30101,BULL PUB BT-55 Tail cone,1,22,32.1,33.7,29,25,0,0,0,1.06,1,Polystyrene PS,28,2,4,0,0,,,,,,,,,,
LOC Precision,AR-3.00-2.14,Airframe Reducer from 3.00 to 2.14,0,2.25,2.14,2.26,3.12,3.1,0,2.62,3,0.125,1,Polystyrene PS,4.25,0,4,0,0,,,,,,,,,,
LOC Precision,AR-3.90-3.00,Airframe Reducer from 3.90 to 3.00,0,2.62,3,3.1,2.5,4,0,3.5,3.9,0.125,1,Polystyrene PS,4.75,0,6,0,0,,,,,,,,,,
LOC Precision,PTC-3.90,Tail Cone,1,50.8,98.6,102,206,70.4,0,0,0,3.17,1,Polystyrene PS,82.5,2,108,1,0,,,,,,,,,,
LOC Precision,PTC-5.38,Tail Cone,1,46.2,136,141,232,82.5,0,0,0,2.03,1,Polystyrene PS,0,2,255,1,0,,,,,,,,,,
LOC Precision,PTC-5.38 LONG FIN M,Tail Cone,1,25.4,136,141,232,82.5,0,0,0,2.03,1,Polystyrene PS,0,2,227,1,0,,,,,,,,,,
LOC Precision,PTC-7.51,Tail Cone,1,50.8,190,195,425,104,0,0,0,3.17,1,Polystyrene PS,0,2,0,1,0,,,,,,,,,,
Semroc,BR-085225,Balsa Reducer,0,0.6,0.865,0.945,2.6,2.34,0,0.8,2.25,0,0,Balsa,0,2,0,0,0,,,,,,,,,,
Semroc,BR-1013,Balsa Reducer,0,0.5,1,1.04,0.75,1.34,0,0.5,1.3,0,0,Balsa,0,2,0,0,0,,,,,,,,,,
Semroc,BR-1016,Balsa Reducer,0,0.5,1,1.04,1.5,1.64,0,0.5,1.6,0,0,Balsa,0,2,0,0,0,,,,,,,,,,
Semroc,BR-1316,Balsa Reducer,0,0.5,1.3,1.34,0.75,1.64,0,0.5,1.6,0,0,Balsa,0,2,0,0,0,,,,,,,,,,
Semroc,BR-58,Balsa Reducer,0,0.5,0.515,0.543,0.5,0.908,0,0.5,0.865,0,0,Balsa,0,2,0,0,0,,,,,,,,,,
Semroc,BR-710,Balsa Reducer,0,0.5,0.715,0.759,0.75,1.04,0,0.5,1,0,0,Balsa,0,2,0,0,0,,,,,,,,,,
Semroc,BR-713,Balsa Reducer,0,0.5,0.715,0.759,1.5,1.34,0,0.5,1.3,0,0,Balsa,0,2,0,0,0,,,,,,,,,,
Semroc,BR-716,Balsa Reducer,0,0.5,0.715,0.759,2,1.64,0,0.5,1.6,0,0,Balsa,0,2,0,0,0,,,,,,,,,,
Semroc,BR-78,Balsa Reducer,0,0.5,0.715,0.759,0.875,0.908,0,0.5,0.865,0,0,Balsa,0,2,0,0,0,,,,,,,,,,
Semroc,BR-810,Balsa Reducer,0,0.5,0.865,0.908,0.5,1.04,0,0.5,1,0,0,Balsa,0,2,0,0,0,,,,,,,,,,
Semroc,BR-813,Balsa Reducer,0,0.5,0.865,0.908,1.7,1.34,0,0.5,1.3,0,0,Balsa,0,2,0,0,0,,,,,,,,,,
Semroc,BR-816,Balsa Reducer,0,0.5,0.865,0.908,1.5,1.64,0,0.5,1.6,0,0,Balsa,0,2,0,0,0,,,,,,,,,,
