Mfg.,Part No.,COUPLERS,Units,ID,OD,Length,Material,Mass Units,CG,Mass,AutoSize
Aerospace Speciality Products,TC2.6/80H,Tube Coupler T-2.6/80H,1,62.6,64.5,152,Paper,0,g,0,0
Aerospace Speciality Products,TC20,Tube Coupler T-20,1,16.5,17.8,38.1,Paper,0,g,0,0
Aerospace Speciality Products,TC5,Tube Coupler T-5,1,11.8,13,38.1,Paper,0,g,0,0
Aerospace Speciality Products,TC50,Tube Coupler T-50,1,22.7,24,50.8,Paper,0,g,0,0
Aerospace Speciality Products,TC55,Tube Coupler T-55,1,31.1,32.5,76.2,Paper,0,g,0,0
Aerospace Speciality Products,TC60,Tube Coupler T-60,1,38.9,40.3,76.2,Paper,0,g,0,0
Aerospace Speciality Products,TC70H,Tube Coupler T-70H,1,53.2,54.8,102,Paper,0,g,0,0
Aerospace Speciality Products,TCMM,Tube Coupler - MicroMaxx,1,5.33,6.35,38.1,Paper,0,g,0,0
Aerotech,Aerotech,CP-1.9,0,1.9,1.9,2,Paper,?,g,0,0
Aerotech,Aerotech,CP-2.6,0,2.6,2.6,6,Paper,?,g,0,0
Always Ready Rocketry,13100,29mm BT Coupler,mm,25.5778,28.7528,203.2,Blue Tube,101.6,g,15.8,0
Always Ready Rocketry,13101,38mm BT Coupler,0,1.38,1.504,8,Blue Tube,4,g,27.1,0
Always Ready Rocketry,13102,54mm BT Coupler,0,1.997,2.133,8,Blue Tube,4,g,40.8,0
Always Ready Rocketry,13103,"2.56"" BT Coupler (8"")",mm,61.0362,64.2874,203.2,Blue Tube,101.6,g,57,0
Always Ready Rocketry,13104,"75mm/3"" BT Coupler",0,2.869,2.99,8,Blue Tube,4,g,78.4,0
Always Ready Rocketry,13105,98mm BT Coupler,0,3.75,3.89,8,Blue Tube,4,g,123.2,0
Always Ready Rocketry,13106,"5.5"" BT Coupler",0,5.217,5.36,12,Blue Tube,6,g,301.4,0
Always Ready Rocketry,13107,"6"" BT Coupler",0,5.827,5.973,12,Blue Tube,6,g,334.5,0
Always Ready Rocketry,13110,"29mm BT Coupler (48"")",0,1.007,1.132,48,Blue Tube,24,g,185,0
Always Ready Rocketry,13111,"38mm BT Coupler (48"")",mm,35.052,38.2016,1219.2,Blue Tube,609.6,g,185,0
Always Ready Rocketry,13112,"54mm BT Coupler (48"")",0,1.997,2.133,48,Blue Tube,24,g,390,0
Always Ready Rocketry,13113,"2.56"" BT Coupler (48"")",mm,61.0362,64.2874,1219.2,Blue Tube,609.6,g,446,0
Always Ready Rocketry,13114,"75mm/3"" BT Coupler (48"")",0,2.869,2.99,48,Blue Tube,24,g,529,0
Always Ready Rocketry,13115,"98mm BT Coupler (48"")",0,3.75,3.89,48,Blue Tube,24,g,720,0
Always Ready Rocketry,13116,"5.5"" BT Coupler (48)""",0,5.217,5.384,48,Blue Tube,24,g,1000,0
Always Ready Rocketry,13117,"6"" BT Coupler (48"")",0,5.827,5.973,48,Blue Tube,24,g,1000,0
Apogee,13009,AC-24B (Fits BT-50),mm,23.1394,23.7744,50.8,Paper,25.4,g,1.85,0
Apogee,13010,AC-29A,mm,27.8892,28.8036,63.5,Paper,31.75,g,2.3,0
Apogee,13014,AC-13A (Fits BT-5),mm,12.0904,12.954,50.8,Paper,25.4,g,0.7,0
Apogee,13015,AC-18B (Fits BT-20),mm,16.6624,17.78,38.1,Kraft phenolic,19.05,g,0.7,0
Apogee,13017,AC-33 (Fits BT-55),mm,31.75,32.512,71.12,Paper,35.56,g,2.4,0
Apogee,13019,AC-41.6 (Fits BT-60),mm,39.37,40.386,76.2,Paper,38.1,g,3.8,0
Apogee,13043,AC-56A (Fits BT-70),0,2.11,2.17,4,Paper,2,g,11.8,0
Apogee,13045,AC-66A (Fits BT-80),0,2.486,2.554,4,Paper,2,g,19,0
Apogee,13047,"AC-74 (3"" Thin Wall)",0,2.851,2.923,6,Paper,3,g,25.55,0
Apogee,13125,"AC-98 (4"" Thick Wall)",0,3.7,3.88,9,Paper,4.5,g,120.6,0
Balsa Machining,C188-34,1.796x1.728x34 inch long T188 coupler stock,in.,1.728,1.796,34,Paper,0,oz.,0,0
Balsa Machining,C188-4,1.796x1.728x4 inch long T188 coupler,in.,1.728,1.796,4,Paper,0,oz.,0,0
Balsa Machining,C20-3,.708x.666x3 inch long T20 coupler,in.,0.666,0.708,3,Paper,0,oz.,0,0
Balsa Machining,C20-34,.708x.666x34 inch long T20 coupler stock,in.,0.666,0.708,34,Paper,0,oz.,0,0
Balsa Machining,C204-34,1.997x1.929x34 inch long T204 coupler stock,in.,1.929,1.997,34,Paper,0,oz.,0,0
Balsa Machining,C204-4,1.997x1.929x4 inch long T204 coupler,in.,1.929,1.997,4,Paper,0,oz.,0,0
Balsa Machining,C5-2,.516x.474x2inch long T5 coupler,in.,0.474,0.516,2,Paper,0,oz.,0,0
Balsa Machining,C5-34,.516x.474x34inch long T5 coupler stock,in.,0.474,0.516,34,Paper,0,oz.,0,0
Balsa Machining,C50-1,.948x.88x.034x1in long T50 coupler.,in.,0.88,0.948,1,Paper,0,oz.,0,0
Balsa Machining,C50-34,.948x.88x.034x34 T50 coupler stk.,in.,0.88,0.948,34,Paper,0,oz.,0,0
Balsa Machining,C50-4,.948x.88x.034x4in long T50 coupler.,in.,0.88,0.948,4,Paper,0,oz.,0,0
Balsa Machining,C52H-34,1.137x.977x34inch T52H coupler stock .080thk,in.,0.977,1.137,34,Paper,0,oz.,0,0
Balsa Machining,C52H-4,1.137x.977x4 inch T52H coupler .080thk,in.,0.977,1.137,4,Paper,0,oz.,0,0
Balsa Machining,C52H-4,1.137x.977x4 inch T52H coupler .080thk,in.,0.977,1.137,4,Paper,0,oz.,0,0
